no;q2;sex;age;work;educ;tenure
148;not changed;female;35-44;full or part time;high (Degree);owned outright
149;Gone down;female;55-64;not working;medium (A-Level);owned outright
150;up by 1% but less than 2%;male;55-64;full or part time;medium (A-Level);owned outright
151;up by 5% or more;female;65+;not working;low (GCSE);owned outright
152;up by 5% or more;male;15-24;full or part time;medium (A-Level);other (inc private rent pre-2016)
153;up by 2% but less than 3%;female;55-64;not working;low (GCSE);other (inc private rent pre-2016)
154;up by 5% or more;female;45-54;full or part time;medium (A-Level);other (inc private rent pre-2016)
155;up by 5% or more;male;25-34;not working;medium (A-Level);council rent
156;Gone down;female;45-54;full or part time;low (GCSE);owned outright
157;up by 1% but less than 2%;female;65+;not working;low (GCSE);other (inc private rent pre-2016)
158;up by 5% or more;male;65+;not working;low (GCSE);council rent
159;Gone down;male;65+;not working;medium (A-Level);other (inc private rent pre-2016)
160;Gone down;female;15-24;not working;medium (A-Level);other (inc private rent pre-2016)
161;Gone down;male;45-54;not working;high (Degree);other (inc private rent pre-2016)
162;up by 5% or more;male;55-64;not working;low (GCSE);other (inc private rent pre-2016)
163;up by 2% but less than 3%;male;45-54;full or part time;medium (A-Level);mortgage
164;Gone down;female;45-54;full or part time;medium (A-Level);mortgage
165;not changed;female;35-44;full or part time;medium (A-Level);mortgage
166;not changed;female;45-54;full or part time;high (Degree);other (inc private rent pre-2016)
167;up by 3% but less than 4%;female;35-44;full or part time;high (Degree);mortgage
168;Gone down;female;65+;not working;low (GCSE);owned outright
169;up by 2% but less than 3%;female;65+;not working;low (GCSE);owned outright
170;up by 1% or less;male;55-64;full or part time;low (GCSE);owned outright
171;up by 1% but less than 2%;female;55-64;not working;high (Degree);owned outright
172;up by 1% but less than 2%;male;65+;not working;medium (A-Level);owned outright
173;up by 5% or more;male;65+;not working;medium (A-Level);owned outright
174;Gone down;female;45-54;full or part time;high (Degree);mortgage
175;not changed;male;15-24;not working;high (Degree);other (inc private rent pre-2016)
176;not changed;male;45-54;full or part time;high (Degree);other (inc private rent pre-2016)
177;up by 3% but less than 4%;female;15-24;full or part time;high (Degree);mortgage
178;up by 2% but less than 3%;male;65+;not working;medium (A-Level);owned outright
179;not changed;female;25-34;full or part time;high (Degree);other (inc private rent pre-2016)
180;not changed;male;35-44;full or part time;medium (A-Level);mortgage
181;up by 1% or less;female;55-64;full or part time;high (Degree);mortgage
182;up by 3% but less than 4%;female;45-54;full or part time;medium (A-Level);mortgage
183;up by 2% but less than 3%;female;35-44;full or part time;high (Degree);council rent
184;Gone down;female;45-54;full or part time;medium (A-Level);mortgage
185;Gone down;male;65+;not working;low (GCSE);council rent
186;up by 4% but less than 5%;male;25-34;full or part time;medium (A-Level);mortgage
187;up by 2% but less than 3%;male;55-64;full or part time;medium (A-Level);owned outright
188;not changed;male;65+;full or part time;high (Degree);owned outright
189;up by 4% but less than 5%;female;15-24;full or part time;medium (A-Level);mortgage
190;up by 3% but less than 4%;male;65+;not working;low (GCSE);owned outright
191;up by 4% but less than 5%;female;15-24;full or part time;medium (A-Level);other (inc private rent pre-2016)
192;up by 4% but less than 5%;female;15-24;full or part time;medium (A-Level);mortgage
193;up by 3% but less than 4%;male;65+;not working;low (GCSE);owned outright
194;not changed;female;45-54;full or part time;medium (A-Level);mortgage
195;Gone down;male;25-34;full or part time;medium (A-Level);owned outright
196;Gone down;female;65+;full or part time;medium (A-Level);mortgage
197;up by 3% but less than 4%;female;65+;not working;low (GCSE);council rent
198;up by 3% but less than 4%;female;45-54;full or part time;low (GCSE);owned outright
199;up by 5% or more;male;65+;not working;medium (A-Level);owned outright
200;up by 2% but less than 3%;male;65+;not working;low (GCSE);mortgage
201;Gone down;male;35-44;full or part time;high (Degree);mortgage
202;up by 2% but less than 3%;male;65+;not working;medium (A-Level);owned outright
203;up by 3% but less than 4%;female;55-64;full or part time;low (GCSE);council rent
204;up by 4% but less than 5%;female;15-24;not working;medium (A-Level);mortgage
205;up by 2% but less than 3%;female;35-44;not working;low (GCSE);council rent
206;up by 5% or more;male;65+;not working;low (GCSE);council rent
207;up by 2% but less than 3%;male;35-44;full or part time;medium (A-Level);mortgage
208;up by 5% or more;male;55-64;not working;low (GCSE);mortgage
209;up by 2% but less than 3%;female;35-44;not working;medium (A-Level);mortgage
210;up by 5% or more;male;45-54;full or part time;medium (A-Level);other (inc private rent pre-2016)
211;up by 5% or more;female;55-64;full or part time;medium (A-Level);owned outright
212;up by 5% or more;male;45-54;full or part time;medium (A-Level);mortgage
213;up by 5% or more;female;25-34;full or part time;high (Degree);mortgage
214;not changed;male;45-54;full or part time;high (Degree);mortgage
215;up by 5% or more;female;35-44;not working;medium (A-Level);other (inc private rent pre-2016)
216;up by 3% but less than 4%;female;55-64;full or part time;medium (A-Level);owned outright
217;up by 4% but less than 5%;female;45-54;full or part time;medium (A-Level);mortgage
218;not changed;male;65+;not working;low (GCSE);mortgage
219;up by 1% but less than 2%;female;15-24;full or part time;medium (A-Level);other (inc private rent pre-2016)
220;up by 2% but less than 3%;female;25-34;full or part time;medium (A-Level);other (inc private rent pre-2016)
221;up by 3% but less than 4%;female;15-24;not working;medium (A-Level);other (inc private rent pre-2016)
222;not changed;male;25-34;not working;medium (A-Level);other (inc private rent pre-2016)
223;Gone down;male;15-24;not working;low (GCSE);other (inc private rent pre-2016)
224;up by 1% but less than 2%;female;45-54;full or part time;high (Degree);other (inc private rent pre-2016)
225;not changed;female;25-34;not working;medium (A-Level);other (inc private rent pre-2016)
226;Gone down;male;35-44;full or part time;high (Degree);owned outright
227;up by 1% or less;male;15-24;full or part time;high (Degree);other (inc private rent pre-2016)
228;up by 4% but less than 5%;male;45-54;not working;low (GCSE);owned outright
229;up by 2% but less than 3%;female;15-24;not working;low (GCSE);council rent
230;up by 4% but less than 5%;male;65+;not working;low (GCSE);council rent
231;up by 1% but less than 2%;female;45-54;full or part time;medium (A-Level);other (inc private rent pre-2016)
232;up by 3% but less than 4%;male;65+;not working;medium (A-Level);council rent
233;Gone down;female;15-24;not working;medium (A-Level);council rent
234;up by 5% or more;male;45-54;full or part time;medium (A-Level);owned outright
235;up by 2% but less than 3%;male;45-54;full or part time;medium (A-Level);other (inc private rent pre-2016)
236;not changed;female;55-64;full or part time;low (GCSE);council rent
237;up by 2% but less than 3%;male;35-44;full or part time;medium (A-Level);council rent
238;Gone down;male;55-64;full or part time;high (Degree);owned outright
239;up by 1% but less than 2%;male;35-44;full or part time;low (GCSE);owned outright
240;not changed;male;65+;not working;high (Degree);owned outright
241;not changed;male;65+;not working;high (Degree);owned outright
242;up by 4% but less than 5%;female;45-54;full or part time;high (Degree);mortgage
243;not changed;female;35-44;full or part time;high (Degree);other (inc private rent pre-2016)
244;up by 1% but less than 2%;female;35-44;full or part time;high (Degree);owned outright
245;up by 1% or less;male;15-24;not working;medium (A-Level);other (inc private rent pre-2016)
246;Gone down;male;65+;not working;medium (A-Level);owned outright
247;up by 4% but less than 5%;female;65+;not working;low (GCSE);owned outright
248;up by 4% but less than 5%;male;35-44;full or part time;medium (A-Level);other (inc private rent pre-2016)
249;Gone down;female;25-34;not working;high (Degree);mortgage
250;up by 1% but less than 2%;male;35-44;full or part time;high (Degree);mortgage
251;up by 4% but less than 5%;female;65+;not working;medium (A-Level);owned outright
252;up by 1% but less than 2%;male;15-24;full or part time;medium (A-Level);mortgage
253;not changed;female;45-54;full or part time;medium (A-Level);owned outright
254;up by 5% or more;male;65+;not working;medium (A-Level);owned outright
255;up by 5% or more;female;55-64;not working;low (GCSE);owned outright
256;Gone down;male;35-44;full or part time;high (Degree);mortgage
257;Gone down;female;35-44;full or part time;medium (A-Level);mortgage
258;up by 5% or more;male;45-54;not working;medium (A-Level);mortgage
259;not changed;male;25-34;full or part time;medium (A-Level);mortgage
260;up by 1% but less than 2%;female;65+;not working;medium (A-Level);other (inc private rent pre-2016)
261;up by 1% but less than 2%;male;55-64;full or part time;low (GCSE);owned outright
262;up by 1% but less than 2%;male;35-44;full or part time;medium (A-Level);other (inc private rent pre-2016)
263;not changed;male;65+;not working;low (GCSE);owned outright
264;not changed;female;45-54;full or part time;medium (A-Level);mortgage
265;up by 3% but less than 4%;male;55-64;not working;medium (A-Level);owned outright
266;not changed;female;65+;not working;medium (A-Level);owned outright
267;up by 1% but less than 2%;female;65+;not working;high (Degree);owned outright
268;up by 3% but less than 4%;female;65+;not working;low (GCSE);mortgage
269;up by 4% but less than 5%;male;55-64;full or part time;high (Degree);mortgage
270;up by 5% or more;male;65+;not working;low (GCSE);council rent
271;not changed;male;35-44;full or part time;high (Degree);mortgage
272;up by 4% but less than 5%;female;15-24;full or part time;medium (A-Level);other (inc private rent pre-2016)
273;Gone down;male;25-34;full or part time;medium (A-Level);mortgage
274;up by 5% or more;female;55-64;full or part time;medium (A-Level);owned outright
275;up by 5% or more;female;45-54;full or part time;medium (A-Level);mortgage
276;up by 3% but less than 4%;male;65+;not working;medium (A-Level);council rent
277;up by 1% but less than 2%;female;15-24;not working;medium (A-Level);mortgage
278;up by 5% or more;female;45-54;not working;low (GCSE);council rent
279;up by 2% but less than 3%;female;55-64;not working;medium (A-Level);owned outright
280;up by 2% but less than 3%;female;45-54;full or part time;high (Degree);council rent
281;up by 2% but less than 3%;female;25-34;not working;low (GCSE);council rent
282;up by 2% but less than 3%;female;65+;not working;low (GCSE);council rent
283;up by 4% but less than 5%;female;55-64;full or part time;medium (A-Level);council rent
284;up by 3% but less than 4%;male;65+;not working;medium (A-Level);owned outright
285;up by 1% but less than 2%;male;65+;not working;high (Degree);owned outright
286;up by 5% or more;female;65+;not working;low (GCSE);owned outright
287;up by 1% or less;male;15-24;full or part time;high (Degree);mortgage
288;up by 1% but less than 2%;male;65+;not working;medium (A-Level);other (inc private rent pre-2016)
289;up by 1% but less than 2%;female;25-34;full or part time;high (Degree);other (inc private rent pre-2016)
290;up by 1% but less than 2%;female;35-44;full or part time;medium (A-Level);other (inc private rent pre-2016)
291;up by 1% but less than 2%;male;45-54;full or part time;medium (A-Level);mortgage
292;up by 2% but less than 3%;female;25-34;not working;low (GCSE);council rent
293;up by 5% or more;male;65+;not working;low (GCSE);council rent
294;Gone down;female;55-64;full or part time;medium (A-Level);mortgage
295;Gone down;female;55-64;not working;medium (A-Level);mortgage
296;not changed;female;35-44;full or part time;high (Degree);mortgage
297;not changed;female;45-54;full or part time;high (Degree);other (inc private rent pre-2016)
298;up by 5% or more;male;35-44;full or part time;high (Degree);mortgage
299;up by 5% or more;female;45-54;not working;high (Degree);owned outright
300;not changed;female;65+;not working;low (GCSE);owned outright
301;up by 5% or more;male;65+;not working;low (GCSE);owned outright
302;up by 1% but less than 2%;female;65+;not working;low (GCSE);owned outright
303;up by 4% but less than 5%;male;45-54;not working;low (GCSE);other (inc private rent pre-2016)
304;not changed;female;15-24;not working;medium (A-Level);council rent
305;up by 5% or more;male;45-54;full or part time;low (GCSE);council rent
306;not changed;female;45-54;full or part time;low (GCSE);other (inc private rent pre-2016)
307;up by 2% but less than 3%;male;25-34;not working;low (GCSE);council rent
308;up by 1% but less than 2%;female;15-24;full or part time;medium (A-Level);other (inc private rent pre-2016)
309;up by 2% but less than 3%;male;25-34;full or part time;high (Degree);mortgage
310;up by 2% but less than 3%;male;45-54;full or part time;high (Degree);mortgage
311;up by 3% but less than 4%;female;35-44;not working;medium (A-Level);council rent
312;Gone down;female;65+;not working;medium (A-Level);council rent
313;Gone down;male;45-54;full or part time;medium (A-Level);mortgage
314;Gone down;male;55-64;full or part time;high (Degree);owned outright
315;Gone down;female;15-24;full or part time;high (Degree);other (inc private rent pre-2016)
316;up by 1% or less;male;15-24;not working;medium (A-Level);other (inc private rent pre-2016)
317;up by 4% but less than 5%;male;65+;not working;high (Degree);owned outright
318;up by 4% but less than 5%;female;25-34;not working;high (Degree);other (inc private rent pre-2016)
319;Gone down;male;15-24;not working;medium (A-Level);other (inc private rent pre-2016)
320;Gone down;male;45-54;full or part time;low (GCSE);mortgage
321;up by 3% but less than 4%;female;45-54;full or part time;high (Degree);mortgage
322;Gone down;male;55-64;full or part time;high (Degree);mortgage
323;up by 2% but less than 3%;female;55-64;full or part time;high (Degree);mortgage
324;Gone down;male;55-64;full or part time;high (Degree);owned outright
325;Gone down;male;35-44;full or part time;medium (A-Level);mortgage
326;up by 1% or less;female;35-44;full or part time;high (Degree);other (inc private rent pre-2016)
327;up by 1% or less;male;55-64;full or part time;low (GCSE);owned outright
328;up by 4% but less than 5%;male;35-44;full or part time;high (Degree);owned outright
329;up by 2% but less than 3%;male;55-64;not working;high (Degree);owned outright
330;up by 4% but less than 5%;female;45-54;full or part time;high (Degree);mortgage
331;up by 4% but less than 5%;male;45-54;full or part time;high (Degree);mortgage
332;not changed;male;65+;not working;low (GCSE);owned outright
333;up by 5% or more;female;35-44;full or part time;high (Degree);mortgage
334;Gone down;male;45-54;not working;high (Degree);mortgage
335;up by 2% but less than 3%;female;45-54;full or part time;medium (A-Level);mortgage
336;not changed;female;65+;not working;low (GCSE);owned outright
337;up by 5% or more;female;65+;not working;low (GCSE);owned outright
338;up by 3% but less than 4%;female;15-24;full or part time;medium (A-Level);mortgage
339;up by 3% but less than 4%;male;15-24;full or part time;high (Degree);owned outright
340;up by 3% but less than 4%;male;15-24;not working;low (GCSE);mortgage
341;up by 2% but less than 3%;male;25-34;full or part time;high (Degree);other (inc private rent pre-2016)
342;not changed;female;15-24;not working;medium (A-Level);mortgage
343;up by 5% or more;female;15-24;not working;medium (A-Level);other (inc private rent pre-2016)
344;up by 2% but less than 3%;male;15-24;full or part time;medium (A-Level);owned outright
345;up by 2% but less than 3%;male;15-24;full or part time;medium (A-Level);mortgage
346;Gone down;female;15-24;not working;medium (A-Level);other (inc private rent pre-2016)
347;Gone down;male;55-64;not working;low (GCSE);owned outright
348;up by 3% but less than 4%;male;25-34;not working;medium (A-Level);owned outright
349;up by 2% but less than 3%;male;65+;not working;low (GCSE);mortgage
350;not changed;female;45-54;full or part time;high (Degree);owned outright
351;Gone down;male;15-24;full or part time;high (Degree);mortgage
352;not changed;female;65+;not working;medium (A-Level);owned outright
353;up by 1% or less;male;65+;not working;medium (A-Level);owned outright
354;up by 2% but less than 3%;male;65+;not working;low (GCSE);other (inc private rent pre-2016)
355;Gone down;male;65+;full or part time;medium (A-Level);owned outright
356;up by 5% or more;male;65+;not working;low (GCSE);other (inc private rent pre-2016)
357;Gone down;male;55-64;not working;medium (A-Level);owned outright
358;up by 1% but less than 2%;female;35-44;not working;medium (A-Level);mortgage
359;up by 5% or more;female;65+;not working;medium (A-Level);owned outright
360;up by 1% but less than 2%;male;45-54;full or part time;medium (A-Level);mortgage
361;not changed;male;45-54;full or part time;medium (A-Level);mortgage
362;up by 1% or less;female;65+;not working;medium (A-Level);owned outright
363;not changed;female;65+;not working;low (GCSE);council rent
364;not changed;female;25-34;full or part time;medium (A-Level);other (inc private rent pre-2016)
365;Gone down;female;35-44;full or part time;high (Degree);owned outright
366;Gone down;male;25-34;not working;low (GCSE);owned outright
367;up by 5% or more;male;55-64;full or part time;medium (A-Level);owned outright
368;not changed;male;25-34;full or part time;medium (A-Level);owned outright
369;up by 1% but less than 2%;male;15-24;full or part time;medium (A-Level);mortgage
370;Gone down;female;25-34;not working;medium (A-Level);mortgage
371;up by 2% but less than 3%;female;55-64;full or part time;low (GCSE);owned outright
372;up by 5% or more;female;45-54;full or part time;high (Degree);other (inc private rent pre-2016)
373;not changed;female;45-54;full or part time;high (Degree);owned outright
374;up by 4% but less than 5%;female;15-24;not working;high (Degree);other (inc private rent pre-2016)
375;up by 4% but less than 5%;female;15-24;not working;medium (A-Level);other (inc private rent pre-2016)
376;up by 4% but less than 5%;female;65+;not working;high (Degree);owned outright
377;Gone down;male;65+;not working;medium (A-Level);owned outright
378;not changed;male;35-44;full or part time;high (Degree);mortgage
379;Gone down;female;65+;not working;medium (A-Level);owned outright
380;up by 2% but less than 3%;male;65+;not working;high (Degree);owned outright
381;up by 2% but less than 3%;female;55-64;full or part time;medium (A-Level);owned outright
382;Gone down;female;65+;not working;low (GCSE);mortgage
383;Gone down;male;55-64;not working;medium (A-Level);owned outright
384;up by 2% but less than 3%;female;55-64;not working;medium (A-Level);owned outright
385;up by 2% but less than 3%;male;25-34;full or part time;high (Degree);mortgage
386;not changed;female;65+;not working;low (GCSE);council rent
387;not changed;female;55-64;not working;medium (A-Level);owned outright
388;up by 3% but less than 4%;female;45-54;full or part time;high (Degree);mortgage
389;Gone down;female;55-64;full or part time;high (Degree);owned outright
390;up by 4% but less than 5%;male;65+;full or part time;medium (A-Level);owned outright
391;up by 4% but less than 5%;female;45-54;full or part time;low (GCSE);owned outright
392;Gone down;female;45-54;full or part time;medium (A-Level);mortgage
393;up by 4% but less than 5%;male;15-24;not working;medium (A-Level);owned outright
394;Gone down;male;25-34;full or part time;medium (A-Level);mortgage
395;not changed;female;45-54;full or part time;medium (A-Level);mortgage
396;Gone down;female;55-64;not working;high (Degree);owned outright
397;up by 2% but less than 3%;male;45-54;full or part time;medium (A-Level);mortgage
398;Gone down;male;45-54;full or part time;high (Degree);mortgage
399;not changed;female;35-44;full or part time;medium (A-Level);mortgage
400;up by 5% or more;female;65+;not working;medium (A-Level);mortgage
401;Gone down;male;45-54;not working;medium (A-Level);other (inc private rent pre-2016)
402;Gone down;female;45-54;not working;low (GCSE);owned outright
403;up by 1% or less;female;15-24;not working;medium (A-Level);owned outright
404;up by 3% but less than 4%;female;65+;not working;medium (A-Level);owned outright
405;not changed;female;65+;not working;medium (A-Level);owned outright
406;not changed;female;45-54;full or part time;medium (A-Level);mortgage
407;Gone down;female;35-44;full or part time;high (Degree);mortgage
